"PIC","Role","NameInLatinCharacterSet","OrganisationType","City","CountryRegionDescription","CountryDescription","ProjectCode","ActionType","ActionTypeDescription","CallYear","ProjectTitle","Acronym","DurationInMonths","Status","ProjectStartDate","ProjectEndDate","Initial awarded grant(IAG)","Topics","TopicDescriptions"
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2019-1-FI01-KA103-060218","KA103","Higher education student and staff mobility within programme countries",2019,"Higher education student and staff mobility within programme countries",,24,"Follow-up",01.06.19,31.05.21,"733 625,00 €",,
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2018-1-FI01-KA103-046759","KA103","Higher education student and staff mobility within programme countries",2018,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.18,30.09.19,"597 475,00 €",,
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2017-1-FI01-KA103-034289","KA103","Higher education student and staff mobility within programme countries",2017,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.17,30.09.18,"544 580,00 €",,
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2016-1-FI01-KA103-022248","KA103","Higher education student and staff mobility within programme countries",2016,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.16,30.09.17,"525 120,00 €",,
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2015-1-FI01-KA103-008804","KA103","Higher education student and staff mobility within programme countries",2015,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.15,30.09.16,"513 100,00 €",,
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2014-1-FI01-KA103-000105","KA103","Higher education student and staff mobility within programme countries",2014,"Higher education student and staff mobility",,16,"Finalised",01.06.14,30.09.15,"522 560,00 €",,
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2019-1-FI01-KA107-060676","KA107","Higher education student and staff mobility within programme countries",2019,"Higher education student and staff mobility between Programme and Partner Countries",,36,"Follow-up",01.08.19,31.07.22,"115 723,00 €",,
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2018-1-FI01-KA107-046805","KA107","Higher education student and staff mobility within programme countries",2018,"Higher education student and staff mobility between Programme and Partner Countries",,38,"Follow-up",01.06.18,31.07.21,"85 553,00 €",,
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2017-1-FI01-KA107-034354","KA107","Higher education student and staff mobility within programme countries",2017,"Higher education student and staff mobility between Programme and Partner Countries",,26,"Finalised",01.06.17,31.07.19,"61 088,00 €",,
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2016-1-FI01-KA107-022279","KA107","Higher education student and staff mobility within programme countries",2016,"Higher education student and staff mobility between Programme and Partner Countries",,26,"Finalised",01.06.16,31.07.18,"179 532,00 €",,
