ProjectCode,ProjectTitle,ActionTypeDescription,ActionType,CallYear,PIC,Accreditation Type,NameInLatinCharacterSet,OrganisationType,City,CountryRegionDescription,DurationInMonths,ProjectStartDate,ProjectEndDate,Initial awarded grant(IAG),Topic Code,Topic Name,Horizontal Priority Name,City_korjattu
2025-1-FI01-KA171-HED-000345133,,International mobility supported by external policy funds,KA171-HED,2025,E10174519,,TAMPEREEN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Tampere,Pirkanmaa,36,1.8.2025,31.7.2028,62732,,,#PUUTTUU!,
2024-1-FI01-KA122-SCH-000214078,Ristiina osana Eurooppaa,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2024,E10080632,,Ristiinan yhtenäiskoulu,School/Institute/Educational centre – General education (basic education),Mikkeli,Etelä-Savo,18,1.9.2024,28.2.2026,69880,TOPIC-165_TOPIC-35_TOPIC-61,"Inclusion, promoting equality and non-discrimination_Teaching and learning of foreign languages_Green skills",#PUUTTUU!,
2023-3-FI01-KA210-YOU-000180800,Ternengo butti,Small-scale partnerships in youth,KA210-YOU,2023,E10215596,,Suomen Romaniyhdistys - Finitiko Romanengo Sankiba - Finlands Romaniförening ry,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,12,1.1.2024,31.12.2024,60000,TOPIC-182_TOPIC-33,Employability_Roma and/or other minorities,#PUUTTUU!,
2023-3-FI01-KA210-YOU-000176921,Neighbours Discovering Internationality Together!,Small-scale partnerships in youth,KA210-YOU,2023,E10202440,,KAAKKOIS-SUOMEN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Mikkeli,Etelä-Savo,18,1.1.2024,30.6.2025,60000,TOPIC-136_TOPIC-159_TOPIC-187,Quality and innovation of youth work_Awareness about the European Union_International relations and development cooperation,"Common values, civic engagement and participation",
2023-3-FI01-KA210-YOU-000175201,Karjalaisuuden ja inkeriläisyyden elävän perinnön vahvistaminen nuorten keskuudessa,Small-scale partnerships in youth,KA210-YOU,2023,E10339399,,Karjalainen Nuorisoliitto ry,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,18,1.2.2024,31.7.2025,60000,TOPIC-102_TOPIC-70,"Bridging intercultural, intergenerational and social divide_Cultural heritage","Common values, civic engagement and participation",
2023-3-FI01-KA210-YOU-000170377,Embrace Diversity and Connect for Inclusion,Small-scale partnerships in youth,KA210-YOU,2023,E10338860,,Pelkosenniemen kunta,Local Public body,Pelkosenniemi,Lappi,16,4.2.2024,3.6.2025,30000,TOPIC-102_TOPIC-165,"Bridging intercultural, intergenerational and social divide_Inclusion, promoting equality and non-discrimination","Common values, civic engagement and participation",
2023-3-FI01-KA154-YOU-000174818,Päijät-Hämeen Vaikuttajakoulu,Youth participation activities,KA154-YOU,2023,E10339253,,Päijät-Hämeen liitto,Regional Public body,Lahti,Päijät-Häme,6,1.1.2024,30.6.2024,60000,TOPIC-115_TOPIC-160_TOPIC-29,Promotion of alternative forms of participation_Democracy and inclusive democratic participation_Reaching the policy level/dialogue with decision makers,#PUUTTUU!,
2023-3-FI01-KA154-YOU-000172009,Kohti toimintaa (Towards action),Youth participation activities,KA154-YOU,2023,E10040025,,"Dodo ry, Dodo rf",Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,24,1.1.2024,31.12.2025,59970,TOPIC-1_TOPIC-13_TOPIC-160,"Agriculture, forestry and fisheries_Environment and climate change_Democracy and inclusive democratic participation",#PUUTTUU!,
2023-3-FI01-KA154-YOU-000172003,Nuoret vapaaehtoiset rakentamassa kestävää tulevaisuutta,Youth participation activities,KA154-YOU,2023,E10079834,,Eettisen kaupan puolesta ry,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,24,15.1.2024,14.1.2026,59996,TOPIC-126_TOPIC-159_TOPIC-160,Human rights and rule of law_Awareness about the European Union_Democracy and inclusive democratic participation,#PUUTTUU!,
2023-3-FI01-KA154-YOU-000171759,Meidän kylä,Youth participation activities,KA154-YOU,2023,E10150837,,Päijänne-Leader ry,Non-governmental organisation/association,Asikkala,Päijät-Häme,7,1.1.2024,31.7.2024,23900,TOPIC-102_TOPIC-160_TOPIC-83,"Bridging intercultural, intergenerational and social divide_Democracy and inclusive democratic participation_European identity, citizenship and values",#PUUTTUU!,
2023-3-FI01-KA154-YOU-000169809,Open Art & Life Lab,Youth participation activities,KA154-YOU,2023,E10303708,,Jyväskylän kulttuuritalon tukiyhdistys ry,Non-governmental organisation/association,Jyväskylä,Keski-Suomi,12,1.1.2024,31.12.2024,31000,TOPIC-136_TOPIC-160_TOPIC-161,"Quality and innovation of youth work_Democracy and inclusive democratic participation_Creativity, arts and culture",#PUUTTUU!,
2023-3-FI01-KA153-YOU-000184436,Kansainväliset maistijaiset,Mobility of youth workers,KA153-YOU,2023,E10200863,,Puumalan kunta,Local Public body,Puumala,Etelä-Savo,18,1.1.2024,30.6.2025,27540,TOPIC-136,Quality and innovation of youth work,#PUUTTUU!,
2023-3-FI01-KA153-YOU-000184327,HAIHEI - Safely in outdoors -training course,Mobility of youth workers,KA153-YOU,2023,E10027025,,Nouseva Rannikkoseutu,Non-governmental organisation/association,Siikajoki,Pohjois-Pohjanmaa,18,1.1.2024,30.6.2025,39753,TOPIC-131_TOPIC-180_TOPIC-97,"Key competences development_Physical and mental health, well-being_New learning and teaching methods and approaches",#PUUTTUU!,
2023-3-FI01-KA153-YOU-000181805,Vaihdetaan menetelmiä,Mobility of youth workers,KA153-YOU,2023,E10319891,,4H-Toimihenkilöliitto,Non-governmental organisation/association,Tampere,Pirkanmaa,12,1.1.2024,31.12.2024,13840,TOPIC-115_TOPIC-145_TOPIC-41,Promotion of alternative forms of participation_Youth employability_Entrepreneurial learning - entrepreneurship education,#PUUTTUU!,
2023-3-FI01-KA152-YOU-000184776,"Listen, communicate, ACT!",Mobility  of young people,KA152-YOU,2023,E10033833,,"Keravan Kaupunki, Nuorisopalvelut",Local Public body,Kerava,Helsinki-Uusimaa,8,1.5.2024,31.12.2024,21585,TOPIC-131_TOPIC-160_TOPIC-77,Key competences development_Democracy and inclusive democratic participation_Community development,#PUUTTUU!,
2023-3-FI01-KA152-YOU-000184440,Green bites of culture,Mobility  of young people,KA152-YOU,2023,E10048978,,Ankkapurhan kulttuurisäätiö,Foundation,Kouvola,Kymenlaakso,24,1.1.2024,31.12.2025,22550,TOPIC-161_TOPIC-61_TOPIC-83,"Creativity, arts and culture_Green skills_European identity, citizenship and values",#PUUTTUU!,
2023-3-FI01-KA152-YOU-000182555,"One World, Many Stories",Mobility of young people,KA152-YOU,2023,E10256987,,Mirsal ry,Non-governmental organisation/association,Espoo,Helsinki-Uusimaa,24,1.1.2024,31.12.2025,56936,TOPIC-102_TOPIC-122_TOPIC-132,"Bridging intercultural, intergenerational and social divide_Inclusion  of marginalised young people_Preventing racism and discrimination",#PUUTTUU!,
2023-3-FI01-KA152-YOU-000180701,Rauhan kansalaiset — Mikkelin tuomiokirkkoseurakunnan ja Ewangelicko - Augsburska w Drogomýslu -seurakunnan nuorten yhteistyöprojekti rauhankasvatuksen ja maailmankansalaisuuden puolesta,Mobility  of young people,KA152-YOU,2023,E10284420,,Mikkelin tuomiokirkkoseurakunta,Other,Mikkeli,Etelä-Savo,12,1.1.2024,31.12.2024,30740,TOPIC-102_TOPIC-187_TOPIC-83,"Bridging intercultural, intergenerational and social divide_International relations and development cooperation_European identity, citizenship and values",#PUUTTUU!,
2023-3-FI01-KA152-YOU-000178419,Pohjoismainen kuurosokeiden nuorisovaihto,Mobility  of young people,KA152-YOU,2023,E10141195,,Suomen Kuurosokeat ry,Non-governmental organisation/association,Tampere,Pirkanmaa,12,1.1.2024,31.12.2024,82130,TOPIC-115_TOPIC-166_TOPIC-187,Promotion of alternative forms of participation_Disabilities_International relations and development cooperation,#PUUTTUU!,
2023-3-FI01-KA152-YOU-000175299,Building bridges,Mobility  of young people,KA152-YOU,2023,E10011575,,Loisto setlementti ry,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,15,1.1.2024,31.3.2025,31344,TOPIC-102_TOPIC-132_TOPIC-180,"Bridging intercultural, intergenerational and social divide_Preventing racism and discrimination_Physical and mental health, well-being",#PUUTTUU!,
2023-3-FI01-KA152-YOU-000172348,ActiWE empoWErment,Mobility  of young people,KA152-YOU,2023,E10039238,,Nordisk Samorganisation för Ungdomsarbete rf,Non-governmental organisation/association,Kemiönsaari,Varsinais-Suomi,12,1.1.2024,31.12.2024,33684,TOPIC-115_TOPIC-160_TOPIC-83,"Promotion of alternative forms of participation_Democracy and inclusive democratic participation_European identity, citizenship and values",#PUUTTUU!,
