ProjectCode,ProjectTitle,ActionTypeDescription,ActionType,CallYear,PIC,Accreditation Type,NameInLatinCharacterSet,OrganisationType,City,CountryRegionDescription,DurationInMonths,ProjectStartDate,ProjectEndDate,Initial awarded grant(IAG),Topic Code,Topic Name,Horizontal Priority Name
2021-1-FI01-KA120-ADU-000046670,,Erasmus accreditation in adult education,KA120-ADU,2021,E10168558,Accreditation for an individual organisation,Spring House Oy,,Helsinki,,,,,,,,#N/A
2021-1-FI01-KA120-ADU-000045516,,Erasmus accreditation in adult education,KA120-ADU,2021,E10108147,Accreditation for an individual organisation,LOIMAA EVANKELINEN KANSAOPISTO,,LOIMAA,,,,,,,,#N/A
2021-1-FI01-KA120-ADU-000044024,,Erasmus accreditation in adult education,KA120-ADU,2021,E10084565,Accreditation for an individual organisation,ESPOON SEUDUN KOULUTUSKUNTAYHTYMA OMNIA,, ESPOON KAUPUNKI,,,,,,,,#N/A
2021-1-FI01-KA120-ADU-000042998,,Erasmus accreditation in adult education,KA120-ADU,2021,E10212878,Accreditation for an individual organisation,KUOPION KAUPUNKI,,KUOPIO,,,,,,,,#N/A
2021-1-FI01-KA120-ADU-000042798,,Erasmus accreditation in adult education,KA120-ADU,2021,E10281317,Accreditation for an individual organisation,Sotungin etälukio,,Vantaa,,,,,,,,#N/A
2021-1-FI01-KA120-ADU-000042471,,Erasmus accreditation in adult education,KA120-ADU,2021,E10216652,Accreditation for an individual organisation,Ålands landskapsregering,,Mariehamn,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000047659,,Erasmus accreditation in school education,KA120-SCH,2021,E10168603,Accreditation for an individual organisation,"Kauhajoen lukio, Kauhajoen kaupunki",,Kauhajoki,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000047278,,Erasmus accreditation in school education,KA120-SCH,2021,E10283452,Accreditation for an individual organisation,Jaalan koulu,,Jaala,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000047241,,Erasmus accreditation in school education,KA120-SCH,2021,E10147688,Accreditation for an individual organisation,Kasavuoren koulu,,Kauniainen,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000047086,,Erasmus accreditation in school education,KA120-SCH,2021,E10090001,Accreditation for a mobility consortium coordinator,Koulutuskuntayhtymä Tavastia,,Hämeenlinna,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000046413,,Erasmus accreditation in school education,KA120-SCH,2021,E10160651,Accreditation for an individual organisation,Äänekosken lukio,,Äänekoski,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000045372,,Erasmus accreditation in school education,KA120-SCH,2021,E10087339,Accreditation for an individual organisation,Kesämäen koulu,,Lappeenranta,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000045250,,Erasmus accreditation in school education,KA120-SCH,2021,E10043265,Accreditation for an individual organisation,Utajärven lukio,,Utajärvi,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000045097,,Erasmus accreditation in school education,KA120-SCH,2021,E10175009,Accreditation for an individual organisation,Lappeenrannan Lyseon lukio,,Lappeenranta,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000044490,,Erasmus accreditation in school education,KA120-SCH,2021,E10132033,Accreditation for an individual organisation,Pargas stad,,Pargas,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000044393,,Erasmus accreditation in school education,KA120-SCH,2021,E10134573,Accreditation for an individual organisation,Järvenpään lukio / Järvenpään kaupunki,,Järvenpää,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000044244,,Erasmus accreditation in school education,KA120-SCH,2021,E10069954,Accreditation for an individual organisation,Tikkakosken yhtenäiskoulu,,Tikkakoski,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000044240,,Erasmus accreditation in school education,KA120-SCH,2021,E10091624,Accreditation for an individual organisation,"Pateniemen koulu, Oulun kaupunki",,Oulun kaupunki,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000044086,,Erasmus accreditation in school education,KA120-SCH,2021,E10030262,Accreditation for an individual organisation,Alppilan lukio,,Helsinki,,,,,,,,#N/A
2021-1-FI01-KA120-SCH-000044079,,Erasmus accreditation in school education,KA120-SCH,2021,E10166266,Accreditation for an individual organisation,Helsingin yhteislyseo,,Helsinki,,,,,,,,#N/A
