"ProjectCode","link","Role","NameInLatinCharacterSet","OrganisationType","City","CountryRegionDescription","CountryDescription","ActionType","ActionTypeDescription","CallYear","ProjectTitle","Acronym","DurationInMonths","Status","ProjectStartDate","ProjectEndDate","Initial awarded grant(IAG)","Topics","TopicDescriptions"
"2020-1-FI01-KA201-066458","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA201-066458","APP","Lauttasaaren yhteiskoulu, Kansainvälisen liiketoiminnan lukio","School/Institute/Educational centre – General education (secondary level)","Helsinki","Helsinki-Uusimaa","Finland","KA201","Strategic Partnerships for school education",2020,"Baltic Sea Business High School Network","BSBHSN",30,"Follow-up",01.09.20,28.02.23,204225,"TOPIC-41,TOPIC-20,TOPIC-72","Entrepreneurial learning - entrepreneurship education,International cooperation, international relations, development cooperation,Cooperation between educational institutions and business"
"2020-1-FI01-KA201-066460","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA201-066460","APP","SAVONIA-AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","KUOPIO","Pohjois-Savo","Finland","KA201","Strategic Partnerships for school education",2020,"All in - International Inclusive Society in Arts","ALIISA",36,"Follow-up",01.09.20,31.08.23,256501,"TOPIC-4,TOPIC-18,TOPIC-19","Creativity and culture,Inclusion - equity,Intercultural/intergenerational education and (lifelong)learning"
"2020-1-FI01-KA201-066468","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA201-066468","APP","ITA-SUOMEN YLIOPISTO","Higher education institution (tertiary level)","KUOPIO","Pohjois-Savo","Finland","KA201","Strategic Partnerships for school education",2020,"Building Young Students’ 21st Century Capacity through School-driven Community Change Actions","Schools as Drivers of Change",24,"Follow-up",01.12.20,30.11.22,228568,"TOPIC-23,TOPIC-25","New innovative curricula/educational methods/development of training courses,Pedagogy and didactics"
"2020-1-FI01-KA201-066493","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA201-066493","APP","TURUN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","TURKU","Varsinais-Suomi","Finland","KA201","Strategic Partnerships for school education",2020,"Prevention of Sexual Harassment in Secondary Schools","SHEHAP",36,"Follow-up",01.09.20,31.08.23,310146,"TOPIC-23,TOPIC-16,TOPIC-69","New innovative curricula/educational methods/development of training courses,Health and wellbeing,Civic engagement / responsible citizenship"
"2020-1-FI01-KA201-066610","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA201-066610","APP","Rantasalmen lukio","School/Institute/Educational centre – General education (secondary level)","Rantasalmi","Etelä-Savo","Finland","KA201","Strategic Partnerships for school education",2020,"Tourism as an attraction factor",,22,"Follow-up",01.09.20,30.06.22,77494,"TOPIC-20,TOPIC-41,TOPIC-21","International cooperation, international relations, development cooperation,Entrepreneurial learning - entrepreneurship education,Key Competences (incl. mathematics and literacy) - basic skills"
"2020-1-FI01-KA201-066641","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA201-066641","APP","Smedsby-Böle skola","School/Institute/Educational centre – General education (primary level)","Korsholm","Pohjanmaa","Finland","KA201","Strategic Partnerships for school education",2020,"Virtual reality Education & Game based Achievements in classrooms","VEGA",24,"Follow-up",01.12.20,30.11.22,293369,"TOPIC-25,TOPIC-23,TOPIC-3","Pedagogy and didactics,New innovative curricula/educational methods/development of training courses,ICT - new technologies - digital competences"
"2020-1-FI01-KA201-066665","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA201-066665","APP","Crealang. Research & Innovation Oy","Research Institute/Centre","Tampere","Pirkanmaa","Finland","KA201","Strategic Partnerships for school education",2020,"Förderung der Plurilingualität durch fach- und sprachintegriertes Lernen (CLIL) und IKT-Innovationen: Curriculumentwicklung und individuelle Kompetenzprofilierung mittels computermedialer Sprachsimulationen und Online-Analyseinstrumente","PLURICLIL",36,"Follow-up",01.09.20,31.08.23,317714,"TOPIC-32,TOPIC-3,TOPIC-35","Research and innovation,ICT - new technologies - digital competences,Teaching and learning of foreign languages"
"2020-1-FI01-KA201-066677","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA201-066677","APP","RAUHANKASVATUSINSTITUUTTI RY INSTITUTET FOR FREDSFOSTRAN RF","Non-governmental organisation/association","HELSINKI","Helsinki-Uusimaa","Finland","KA201","Strategic Partnerships for school education",2020,"Global Learning for Sense of Belonging","Globe",36,"Contract Signing",01.09.20,31.08.23,381566,"TOPIC-25,TOPIC-23,TOPIC-28","Pedagogy and didactics,New innovative curricula/educational methods/development of training courses,Quality Improvement Institutions and/or methods (incl. school development)"
"2020-1-FI01-KA202-066459","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066459","APP","Helsingin kaupunki","Regional Public body","Helsinki","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"Surveyors' Opportunities for Collaborative Surveying","SOCS",24,"Contract Signing",01.09.20,31.08.22,84084,"TOPIC-23,TOPIC-20,TOPIC-25","New innovative curricula/educational methods/development of training courses,International cooperation, international relations, development cooperation,Pedagogy and didactics"
"2020-1-FI01-KA202-066479","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066479","APP","LANSIRANNIKON KOULUTUS OY","School/Institute/Educational centre – Vocational Training (secondary level)","RAUMA","Satakunta","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"Marketing through Europe","MaTE",24,"Follow-up",01.10.20,30.09.22,188128,"TOPIC-23,TOPIC-41,TOPIC-39","New innovative curricula/educational methods/development of training courses,Entrepreneurial learning - entrepreneurship education,Open and distance learning"
