ProjectCode,ProjectTitle,ActionTypeDescription,ActionType,CallYear,PIC,Accreditation Type,NameInLatinCharacterSet,OrganisationType,City,CountryRegionDescription,DurationInMonths,ProjectStartDate,ProjectEndDate,Initial awarded grant(IAG),Topic Code,Topic Name,Horizontal Priority Name
2021-2-FI01-KA220-YOU-000050569,Circus Trans Formation in Action Advanced,Cooperation partnerships in youth,KA220-YOU,2021,E10167761,,Sorin Sirkus ry,Non-governmental organisation/association,Tampere,Pirkanmaa,28,03.01.22,6/30/2024,"224 625,00 €",TOPIC-25,Pedagogy and didactics,#PUUTTUU
2021-2-FI01-KA220-YOU-000048646,Volunteer and go!,Cooperation partnerships in youth,KA220-YOU,2021,E10182641,,Sosiaalipedagogiikan säätiö,Foundation,Helsinki,Helsinki-Uusimaa,24,03.01.22,2/29/2024,"209 059,00 €",TOPIC-92,Social assistance and welfare,"Common values, civic engagement and participation"
2021-2-FI01-KA220-YOU-000047879,MALE: MicromAchism’ young peopLe reEducation,Cooperation partnerships in youth,KA220-YOU,2021,E10188276,,"SIRIUS, kansainvälinen nuorisoaloitteiden yhdistys ry",Non-governmental organisation/association,Turku,,23,27.05.22,26.04.24,110935,TOPIC-109,Promoting gender equality,"Inclusion and diversity in all fields of education, training, youth and sport"
2021-2-FI01-KA210-YOU-000051172,7 Zaļais Vihreä,Small-scale partnerships in youth,KA210-YOU,2021,E10108147,,Loimaan evankelinen kansanopisto,School/Institute/Educational centre - Adult education,Loimaa,Varsinais-Suomi,24,04.01.22,3/31/2024,"60 000,00 €",TOPIC-61,Green skills,Environment and fight against climate change
2021-2-FI01-KA210-YOU-000050509,I AM HOPE - value based knowledge exchange in the field of youth work,Small-scale partnerships in youth,KA210-YOU,2021,E10090499,,Kulttuurikeskus PiiPoo,Non-Profit making cultural organizations,Lempäälä,Pirkanmaa,22,05.01.22,2/29/2024,"60 000,00 €",TOPIC-83,"European identity, citizenship and values","Common values, civic engagement and participation"
2021-2-FI01-KA210-YOU-000050335,Nature and Diversity in the North,Small-scale partnerships in youth,KA210-YOU,2021,E10093469,,"Eurooppanuoret ry, Unga Europeer rf",Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,12,04.01.22,3/31/2023,"60 000,00 €",TOPIC-13,Environment and climate change,Environment and fight against climate change
2021-2-FI01-KA210-YOU-000048561,SASTE AVEN!,Small-scale partnerships in youth,KA210-YOU,2021,E10215596,,Suomen Romaniyhdistys ry,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,12,03.01.22,2/28/2023,"30 000,00 €",TOPIC-33,Roma and/or other minorities,#PUUTTUU
2021-2-FI01-KA210-VET-000049228,Digital Futures,Small-scale partnerships in vocational education and training,KA210-VET,2021,E10181059,,SASKY koulutuskuntayhtymä,School/Institute/Educational centre – Vocational Training (secondary level),Sastamala,Pirkanmaa,21,03.01.22,11/30/2023,"60 000,00 €",TOPIC-172,"Initial and continuous training for teachers, trainers and other education staff","Addressing digital transformation through development of digital readiness, resilience and capacity"
2021-2-FI01-KA210-VET-000049175,Environmental sustainability as key competence in future business and administration professions,Small-scale partnerships in vocational education and training,KA210-VET,2021,E10031593,,Etelä-Savon Koulutus Oy,School/Institute/Educational centre – Vocational Training (secondary level),Mikkeli,Etelä-Savo,15,05.01.22,7/31/2023,"60 000,00 €",TOPIC-41,Entrepreneurial learning - entrepreneurship education,Environment and fight against climate change
2021-2-FI01-KA210-VET-000049083,SFM VR - Sustainable Forest Management Through Virtual Reality,Small-scale partnerships in vocational education and training,KA210-VET,2021,E10209196,,Työtehoseura ry,School/Institute/Educational centre – Vocational Training (secondary level),Nurmijärvi,Helsinki-Uusimaa,12,03.01.22,2/28/2023,"60 000,00 €",TOPIC-1,"Agriculture, forestry and fisheries","Addressing digital transformation through development of digital readiness, resilience and capacity"
