"Vuosi","Erityisavustus","Asian nimi","Hanke","kid","AvustuskokonaisuusKoodi","Kunta","Maakunta","Hakija","ToimiNimi","AviKoodi","Kieli","Myönnetty Avustus","KuvausTeksti","Toteutusalue","HankkeenSijaintikuntaTeksti","VaikutusalueKoodiTeksti","YhteistyotahotTeksti","KohdeRyhma","AsiaSana","TeemaKoodiTeksti","TiivistettyKuvausHankkeestaTeksti","HankkeenKohdistuminen.VarhaiskasvatusJaEsiopetusKytkin","HankkeenKohdistuminen.TyoikaisetAikuisetKytkin","HankkeenKohdistuminen.ElamankulkuKytkin","HankkeenKohdistuminen.MuuKohderyhmaKytkin","HankkeenKohdistuminen.KotouttavaLiikuntaKytkin","HankkeenKohdistuminen.IkaihmisetKytkin","HankkeenKohdistuminen.MuuLastenJaNuortenKohderyhmaKytkin","HankkeenKohdistuminen.SoveltuvaLiikuntaKytkin","HankkeenKohdistuminen.MuuKohderyhmaTeksti","Diaarinumero","KORG_ID","K_01_Kysely_ID","K_01_PAR_ID","Kysely status 2019","K_02_Yhteistiedot_Organisaation_nimi","K_02_Yhteistiedot_Työpajan_nimi","Ytunnus","K_47_valmentautuja_Nuoria_yht","K_47_valmentautuja_yhteensä_yht","K_43_Henk_htv_yhteensä_yht","K_43_Henk_no_yhteensä_yht","KerhotoimintaanOsallistuvatYhteensaLkm","PaivaleiritoimintaanOsallistuvatYhteensaLkm","KerhojenMaaraYhteensaLkm","PaivaleirienMaaraLkm","Liikuntapaikkatyyppi_LiikuntahalliKytkin","Liikuntapaikkatyyppi_UlkoPalloYleisurheilukenttaKytkin","Liikuntapaikkatyyppi_MuuliikuntapaikkaKytkin","Liikuntapaikkatyyppi_MuuliikuntapaikkaTeksti","Liikuntapaikkatyyppi_JaahalliKytkin","Liikuntapaikkatyyppi_LahiliikuntapaikkaKytkin","Liikuntapaikkatyyppi_RantauimalaVenesatamaKytkin","Liikuntapaikkatyyppi_KuntorataValaistuLatuUlkoilureittiKytkin","Liikuntapaikkatyyppi_UimahalliKytkin","Liikuntapaikkatyyppi_LaskettelurinneHyppyrimakiKytkin","Koulut_LukiotLkm","Oppilaat_Lukiot_YhteensaLkm","Koulut_AmmatillisetOppilaitoksetLkm","Oppilaat_AmmatillisetOppilaitokset_YhteensaLkm"
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha14","Lukki-kirjastojen henkilökunnan osaamisen kehittäminen muutosten keskellä",452,"KiVa","Lohja","Uusimaa","Lohjan kaupunginkirjasto","Lohja",1023,"suomi",20000,,,"Lohja","maakunta",,,,"Kirjastohenkilöstön osaamisen kehittäminen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha1","Asiakastietokoneiden päivitys nykyaikaa vastaaviksi",245,"KiVa","Savonlinna","Etelä-Savo","Punkaharjun kirjasto","Savonlinna",1024,"suomi",1900,,,"Savonlinna","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha5","Lukuelämyksiä kaikelle kansalle",102,"KiVa","Sodankylä","Lappi","Sompion kirjasto","Sodankylä",1028,"suomi",12200,,,"Sodankylä","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha6","Lukulampun valossa -kampanja Rovaniemellä",2614,"KiVa","Rovaniemi","Lappi","Rovaniemen kaupunginkirjasto - Lapin maakuntakirjasto","Rovaniemi",1028,"suomi",4000,,,"Rovaniemi","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha8","Sanataidepaja II",105,"KiVa","Sodankylä","Lappi","Sompion kirjasto","Sodankylä",1028,"suomi",2000,,,"Sodankylä","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha9","Satupiiri",98,"KiVa","Kolari","Lappi","Kolarin kunnankirjasto","Kolari",1028,"suomi",4000,,,"Kolari","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha10","Mistä noita kirjoja oikein tippuu?",617,"KiVa","Valtimo","Pohjois-Karjala","Valtimon kunnankirjasto","Valtimo",1024,"suomi",2200,,,"Valtimo","kunnan- tai kaupunginosat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha12","Lukuharrastuksen edistäminen Honkajoella ja Siikaisissa",241,"KiVa","Honkajoki","Satakunta","Honkajoen kunnankirjasto","Honkajoki",1026,"suomi",1900,,,"Honkajoki","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha13","Rapina keskellä kohinaa",338,"KiVa","Kankaanpää","Satakunta","Kankaanpään kaupunginkirjasto","Kankaanpää",1026,"suomi",1000,,,"Kankaanpää","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha15","Eragonin siivellä",388,"KiVa","Nousiainen","Varsinais-Suomi","Nousiaisten kunnankirjasto","Nousiainen",1026,"suomi",2000,,,"Nousiainen","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
