"fi_FI";"en_GB";"se_SV"
"Myönnetty rahoitus";"The funding allocated";"Beviljat bidrag"
Kokonaissumma;"Total amount";"Den Totala mängden"
Mediakasvatus;"Media literacy";Mediefostran
Tilasuunnittelu;"Library space planning";Utrymmesplanering
"Lukemisen edistäminen";"Promoting reading";Läsfrämjande
"Palvelujen kehittäminen";"Improvement of services";"Utvecklande av tjänster"
"Oppimisympäristö ja yhteisöllisyys";"Learning environment and communality";"Inlärningsmiljö och samverkan"
Digitointi;Digitisation;Digitalisering
Laitehankinnat;"Equipment acquisitions";Apparatanskaffingar
Verkkopalvelut;"Online services";Nättjänster
Kokoelmat;Collections;Samlingarna
"Henkilöstön osaaminen";"Emploee development";"Personalens kunnande"
"Strateginen kehittäminen";"Strategy development";"Strategisk utveckling"
"Yli miljoonan";"Over a million";
"500,000-1 miljoona";"500,000 - 1 million";
"Valmistumisen vauhdittaminen ja 2.";;
"asteen koulutukseen siirtymisen tukeminen";;
"0 euroa";"0 euros";
"< 0.01 milj. euroa";"< 0.01 milj. euros";"< 0.01 milj. euro"
"{0} milj. euroa ({1}%)";"{0} milj. euros ({1}%)";"{0} milj. euro ({1}%)"
"1 hanke";"1 project";"1 projekt"
"{0} hanketta";"{0} projects";"{0} projekt"
"1 kpl";"1 pcs.";"1 st"
"{0} kpl";"{0} pcs.";"{0} st"
"ei uusia työpaikkoja";"no new jobs";
"{0} uutta työpaikkaa";"{0} new jobs";
"ei uusia yrityksiä";"no new ";
"{0} uutta yritystä";"{0} new enterprices";
"ei osallistuneita yrityksiä";"no participant enterprices";
"{0} osallistunutta yritystä";"{0} participant enterprices";
"ei osallistuneita organisaatioita";"no participant organizations";
"{0} osallistunutta organisaatiota";"{0} participant organizations";
Teemoittain;Themes;Tema
Maakunnittain;Region;Landskap
Kunnittain;Municipality;Kommun
Vaikutusalueittain;Area;Influensområde
Kohderyhmittäin;"Target group";målgruppsvis
Avi-alueittain;"Regional state administrative agency area (AVI)";RFV-område
Vuosittain;Year;År
Rahoittajittain;"Funding body";Finansiär
"Koon mukaan";Size;Storlek
Yhteensä;Total;"Den totala mängden"
Uusimaa;;Nyland
Pohjois-Pohjanmaa;"Northern Ostrobothnia";"Norra Österbotten"
Lappi;Lapland;Lappland
Varsinais-Suomi;"Southwest Finland";"Egentliga Finland"
Pohjanmaa;Ostrobothnia;Österbotten
Etelä-Savo;"Southern Savonia";"Södra Savolax"
Pohjois-Karjala;"North Karelia";"Norra Karelen"
Satakunta;Satakunta;
Etelä-Pohjanmaa;"Southern Ostrobothnia";"Södrä Österbotten"
Pirkanmaa;Pirkanmaa;Birkaland
Pohjois-Savo;"Northern Savonia";"Norra Savolax"
Kymenlaakso;;Kymmenedalen
Kanta-Häme;"Tavastia Proper";"Egentliga Tavastland"
Keski-Suomi;"Central Finland";"Mellersta Finland"
Etelä-Karjala;"South Karelia";"Södra Karelen"
Uusimaa-Keskuskirjasto;"Uusimaa Central Library";Nyland-Centralbiblioteket
Päijät-Häme;"Päijänne Tavastia";Päijänne-Tavastland
Keski-Pohjanmaa;"Central Ostrobothnia";"Mellesta Österbotten"
Kainuu;;
kunnat;municipalities;kommuner
maakunta;region;landskap
"kunnan- tai kaupunginosat";"parts of municipality or city";"kommun- eller stadsdelar"
valtakunnallinen;nationwide;riksomfattande
seutukunnat;sub-regions;region
ylimaakunnallinen;"several regions";landskapsöverskridande
kansainvälinen;international;internationell
"Kirjaston asiakkaat";"All library users";"Bibliotekets kunder"
"Kirjaston henkilökunta";"Library staff";"Bibliotekets personal"
"Lapset (alle 13 v.)";"Children (under 13 years)";"Barn (under 13 år)"
